Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
1093.4	1.0000	0.49039	2.0392	51.737	60.831	180.96	47.033	55.354	493.18	0.051155	4.3887e-05	0.077096	vapor
1096.4	1.0000	0.48906	2.0447	51.877	60.995	181.11	47.063	55.384	493.83	0.050379	4.3971e-05	0.077294	vapor
1099.4	1.0000	0.48774	2.0503	52.017	61.160	181.26	47.093	55.414	494.48	0.049609	4.4055e-05	0.077491	vapor
1102.4	1.0000	0.48642	2.0558	52.157	61.325	181.41	47.123	55.444	495.12	0.048845	4.4139e-05	0.077687	vapor
1105.3	1.0000	0.48511	2.0614	52.297	61.490	181.56	47.153	55.474	495.76	0.048086	4.4223e-05	0.077884	vapor
1108.3	1.0000	0.48381	2.0669	52.438	61.655	181.70	47.182	55.503	496.41	0.047333	4.4307e-05	0.078080	vapor
1111.3	1.0000	0.48252	2.0725	52.578	61.820	181.85	47.212	55.533	497.05	0.046586	4.4391e-05	0.078276	vapor
1114.2	1.0000	0.48123	2.0780	52.718	61.985	182.00	47.241	55.562	497.69	0.045844	4.4474e-05	0.078472	vapor
1117.2	1.0000	0.47995	2.0836	52.859	62.150	182.15	47.270	55.591	498.33	0.045107	4.4558e-05	0.078667	vapor
1120.2	1.0000	0.47868	2.0891	52.999	62.315	182.30	47.299	55.620	498.97	0.044376	4.4641e-05	0.078862	vapor
1123.2	1.0000	0.47741	2.0946	53.140	62.481	182.44	47.328	55.649	499.61	0.043650	4.4724e-05	0.079057	vapor
1126.1	1.0000	0.47615	2.1002	53.281	62.646	182.59	47.357	55.677	500.25	0.042929	4.4807e-05	0.079252	vapor
1129.1	1.0000	0.47490	2.1057	53.421	62.811	182.74	47.385	55.706	500.88	0.042213	4.4890e-05	0.079447	vapor
1132.1	1.0000	0.47365	2.1113	53.562	62.977	182.89	47.414	55.734	501.52	0.041503	4.4973e-05	0.079641	vapor
1135.0	1.0000	0.47241	2.1168	53.703	63.143	183.03	47.442	55.763	502.16	0.040797	4.5056e-05	0.079835	vapor
1138.0	1.0000	0.47117	2.1224	53.844	63.309	183.18	47.470	55.791	502.79	0.040097	4.5139e-05	0.080029	vapor
1141.0	1.0000	0.46995	2.1279	53.986	63.474	183.32	47.498	55.819	503.42	0.039402	4.5221e-05	0.080223	vapor
1144.0	1.0000	0.46872	2.1334	54.127	63.640	183.47	47.526	55.847	504.06	0.038711	4.5304e-05	0.080416	vapor
1146.9	1.0000	0.46751	2.1390	54.268	63.806	183.61	47.554	55.874	504.69	0.038025	4.5386e-05	0.080610	vapor
1149.9	1.0000	0.46630	2.1445	54.409	63.973	183.76	47.582	55.902	505.32	0.037344	4.5469e-05	0.080803	vapor
1152.9	1.0000	0.46510	2.1501	54.551	64.139	183.90	47.609	55.929	505.95	0.036668	4.5551e-05	0.080996	vapor
1155.9	1.0000	0.46390	2.1556	54.693	64.305	184.05	47.636	55.957	506.58	0.035997	4.5633e-05	0.081188	vapor
1158.8	1.0000	0.46271	2.1612	54.834	64.471	184.19	47.664	55.984	507.21	0.035330	4.5715e-05	0.081381	vapor
1161.8	1.0000	0.46153	2.1667	54.976	64.638	184.33	47.691	56.011	507.84	0.034668	4.5797e-05	0.081573	vapor
1164.8	1.0000	0.46035	2.1723	55.118	64.804	184.48	47.718	56.038	508.47	0.034011	4.5879e-05	0.081765	vapor
1167.7	1.0000	0.45918	2.1778	55.260	64.971	184.62	47.744	56.065	509.10	0.033358	4.5961e-05	0.081956	vapor
1170.7	1.0000	0.45801	2.1833	55.402	65.138	184.76	47.771	56.091	509.72	0.032709	4.6042e-05	0.082148	vapor
1173.7	1.0000	0.45685	2.1889	55.544	65.304	184.90	47.798	56.118	510.35	0.032065	4.6124e-05	0.082339	vapor
1176.7	1.0000	0.45570	2.1944	55.686	65.471	185.05	47.824	56.144	510.97	0.031426	4.6205e-05	0.082530	vapor
1179.6	1.0000	0.45455	2.2000	55.828	65.638	185.19	47.850	56.170	511.60	0.030790	4.6286e-05	0.082721	vapor
