Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
275.88	100.00	960.19	0.0010415	8.4108	8.8691	43.149	40.780	97.507	620.39	0.022860	0.00011020	0.11640	liquid
276.05	100.00	959.30	0.0010424	8.4272	8.8860	43.210	40.778	97.614	619.09	0.023132	0.00010991	0.11621	liquid
276.22	100.00	958.40	0.0010434	8.4436	8.9028	43.271	40.777	97.723	617.78	0.023406	0.00010961	0.11601	liquid
276.40	100.00	957.50	0.0010444	8.4600	8.9196	43.332	40.776	97.832	616.47	0.023683	0.00010932	0.11582	liquid
276.57	100.00	956.61	0.0010454	8.4765	8.9365	43.393	40.775	97.942	615.15	0.023961	0.00010902	0.11562	liquid
276.74	100.00	955.70	0.0010463	8.4929	8.9534	43.454	40.774	98.053	613.84	0.024241	0.00010873	0.11543	liquid
276.91	100.00	954.80	0.0010473	8.5094	8.9703	43.515	40.773	98.165	612.52	0.024523	0.00010844	0.11523	liquid
277.09	100.00	953.89	0.0010483	8.5259	8.9872	43.576	40.772	98.278	611.21	0.024808	0.00010815	0.11504	liquid
277.26	100.00	952.99	0.0010493	8.5424	9.0042	43.637	40.771	98.392	609.89	0.025094	0.00010786	0.11484	liquid
277.43	100.00	952.08	0.0010503	8.5589	9.0212	43.698	40.771	98.507	608.57	0.025383	0.00010756	0.11465	liquid
277.60	100.00	951.16	0.0010513	8.5754	9.0381	43.760	40.770	98.622	607.24	0.025673	0.00010727	0.11445	liquid
277.78	100.00	950.25	0.0010524	8.5920	9.0552	43.821	40.769	98.739	605.92	0.025966	0.00010698	0.11426	liquid
277.95	100.00	949.33	0.0010534	8.6086	9.0722	43.882	40.769	98.856	604.59	0.026261	0.00010669	0.11406	liquid
