Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
303.38	72.515	581.98	0.0017183	12.968	13.516	59.488	65.069	2098.7	168.84	0.45018	4.2277e-05	0.10237	4.2131e-05	355.77	0.0028108	15.038	15.935	67.462	69.623	3317.4	168.47	0.71919	2.5116e-05	0.11323
303.45	72.630	578.15	0.0017297	13.001	13.554	59.609	66.281	2344.1	166.05	0.45765	4.1898e-05	0.10480	3.7333e-05	359.40	0.0027824	15.001	15.890	67.308	70.602	3700.2	167.44	0.71249	2.5318e-05	0.11792
303.52	72.744	574.08	0.0017419	13.036	13.593	59.737	67.655	2651.7	163.12	0.46552	4.1499e-05	0.10769	3.2666e-05	363.28	0.0027527	14.960	15.842	67.144	71.708	4175.7	166.27	0.70546	2.5536e-05	0.12335
303.59	72.858	569.73	0.0017552	13.073	13.636	59.873	69.231	3047.0	160.01	0.47385	4.1077e-05	0.11120	2.8140e-05	367.45	0.0027215	14.917	15.790	66.968	72.973	4780.7	164.96	0.69802	2.5774e-05	0.12974
303.65	72.973	565.04	0.0017698	13.113	13.681	60.020	71.063	3571.2	156.71	0.48268	4.0626e-05	0.11555	2.3765e-05	371.97	0.0026884	14.870	15.733	66.779	74.444	5573.5	163.44	0.69013	2.6034e-05	0.13742
303.72	73.087	559.92	0.0017860	13.156	13.730	60.179	73.230	4294.6	153.16	0.49209	4.0141e-05	0.12111	1.9558e-05	376.94	0.0026530	14.819	15.672	66.572	76.193	6653.2	161.65	0.68168	2.6323e-05	0.14690
303.79	73.201	554.25	0.0018042	13.203	13.784	60.354	75.853	5347.4	149.33	0.50215	3.9611e-05	0.12849	1.5535e-05	382.47	0.0026146	14.761	15.604	66.343	78.333	8200.5	159.50	0.67257	2.6651e-05	0.15901
303.86	73.316	547.86	0.0018253	13.256	13.845	60.551	79.133	6998.5	145.12	0.51297	3.9021e-05	0.13882	1.1723e-05	388.77	0.0025722	14.697	15.526	66.084	81.057	10583.	156.82	0.66261	2.7029e-05	0.17530
303.93	73.430	540.43	0.0018504	13.318	13.916	60.780	83.442	9896.9	140.37	0.52473	3.8346e-05	0.15453	8.1573e-06	396.18	0.0025241	14.621	15.436	65.783	84.745	14676.	153.29	0.65152	2.7483e-05	0.19892
303.99	73.544	531.31	0.0018822	13.392	14.002	61.060	89.609	16068.	134.74	0.53771	3.7535e-05	0.18197	4.8958e-06	405.40	0.0024667	14.527	15.325	65.413	90.306	23154.	148.23	0.63878	2.8061e-05	0.23799
304.06	73.659	518.70	0.0019279	13.496	14.121	61.448	100.29	36162.	127.19	0.55268	3.6443e-05	0.24679	2.0477e-06	418.35	0.0023903	14.396	15.171	64.903	100.95	49717.	139.49	0.62308	2.8897e-05	0.32411
304.13	73.773	467.60	0.0021386	13.928	14.622	63.094	undefined	undefined	undefined	0.58665	3.2352e-05	undefined	0.0000	467.60	0.0021386	13.928	14.622	63.094	undefined	undefined	undefined	0.58665	3.2352e-05	undefined
