Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
104.25	10.331	662.49	0.0015094	-1.8112	-1.7675	97.247	27.253	68.632	552.81	0.0077938	66.359	0.092487	0.0032403	42.767	0.023383	1.7793	2.4560	137.76	24.711	46.951	182.69	1.6333	7.8521	0.012071
104.34	10.388	661.93	0.0015107	-1.8056	-1.7617	97.300	27.248	68.722	551.73	0.0080849	66.189	0.092327	0.0032245	43.012	0.023249	1.7792	2.4557	137.72	24.728	47.069	182.67	1.6310	7.8619	0.012098
104.42	10.444	661.37	0.0015120	-1.8001	-1.7559	97.353	27.244	68.812	550.66	0.0083769	66.020	0.092168	0.0032088	43.257	0.023117	1.7790	2.4554	137.68	24.745	47.186	182.65	1.6287	7.8716	0.012126
104.51	10.501	660.81	0.0015133	-1.7946	-1.7501	97.406	27.239	68.902	549.58	0.0086697	65.852	0.092010	0.0031931	43.503	0.022987	1.7789	2.4550	137.64	24.762	47.305	182.63	1.6264	7.8814	0.012153
104.59	10.557	660.25	0.0015146	-1.7891	-1.7443	97.459	27.235	68.993	548.51	0.0089633	65.685	0.091853	0.0031775	43.749	0.022858	1.7787	2.4547	137.61	24.778	47.424	182.61	1.6242	7.8911	0.012180
104.68	10.613	659.69	0.0015159	-1.7837	-1.7386	97.512	27.231	69.084	547.44	0.0092578	65.519	0.091696	0.0031620	43.996	0.022730	1.7785	2.4543	137.57	24.795	47.543	182.59	1.6219	7.9008	0.012207
104.76	10.670	659.13	0.0015172	-1.7782	-1.7328	97.564	27.226	69.175	546.37	0.0095532	65.354	0.091540	0.0031466	44.242	0.022603	1.7783	2.4539	137.53	24.812	47.663	182.57	1.6197	7.9105	0.012235
104.84	10.726	658.57	0.0015184	-1.7728	-1.7271	97.617	27.222	69.267	545.31	0.0098494	65.190	0.091384	0.0031312	44.489	0.022477	1.7782	2.4535	137.49	24.829	47.783	182.55	1.6174	7.9202	0.012262
104.93	10.783	658.01	0.0015197	-1.7673	-1.7214	97.669	27.218	69.360	544.25	0.010147	65.027	0.091229	0.0031159	44.737	0.022353	1.7780	2.4532	137.45	24.845	47.904	182.53	1.6152	7.9299	0.012290
105.01	10.839	657.46	0.0015210	-1.7619	-1.7157	97.721	27.214	69.452	543.19	0.010445	64.865	0.091075	0.0031007	44.984	0.022230	1.7778	2.4527	137.42	24.862	48.025	182.51	1.6130	7.9396	0.012317
